epoch,train_loss,train_cls_loss,train_density_loss,val_loss,val_accuracy,val_obo,val_nmae,val_rmse,score,count_threshold_ratio,count_threshold_floor,count_min_distance,count_prominence_ratio,lr,lambda_density
14,0.814062,0.784799,1.75579,0.784762,0.733333,0.533333,0.509913,2.476557,0.677838,0.2,0.15,18,0.03,0.0002100768369844947,0.016667
15,0.767131,0.742649,0.734466,0.748401,0.726667,0.5,0.529365,2.588436,0.666198,0.2,0.05,6,0.03,0.00015071437635969266,0.033333
16,0.784149,0.751419,0.6546,0.721388,0.76,0.5,0.558532,2.536402,0.693073,0.2,0.05,6,0.03,0.00010001404529846369,0.05
17,0.800605,0.757713,0.643371,0.761138,0.753333,0.44,0.577413,2.529822,0.677463,0.2,0.05,6,0.03,5.9224254216287026e-05,0.066667
18,0.78095,0.728935,0.624186,0.736195,0.78,0.48,0.550857,2.479247,0.707457,0.2,0.05,6,0.03,2.934938314316112e-05,0.083333
19,0.828662,0.767466,0.611957,0.739985,0.78,0.453333,0.543913,2.468468,0.703804,0.2,0.05,6,0.03,1.1125050553919015e-05,0.1
20,0.800593,0.729673,0.607886,0.753075,0.773333,0.466667,0.549024,2.438579,0.699882,0.2,0.05,6,0.03,0.001,0.116667
21,0.879532,0.800277,0.594414,0.853333,0.666667,0.406667,0.573151,2.840188,0.599009,0.2,0.05,18,0.03,0.0009984663735322313,0.133333
22,0.98304,0.900688,0.549015,0.848435,0.686667,0.346667,0.604762,2.975455,0.605429,0.2,0.05,6,0.03,0.000993874949446081,0.15
23,0.895992,0.806199,0.538757,0.775343,0.766667,0.36,0.60754,3.021037,0.67529,0.2,0.05,18,0.03,0.0009862540353978442,0.166667
24,0.932724,0.83452,0.535661,0.829683,0.72,0.36,0.60054,3.017725,0.635973,0.2,0.05,6,0.03,0.0009756506168568389,0.183333
25,0.955175,0.848459,0.533581,0.860777,0.74,0.36,0.610873,3.065942,0.652456,0.2,0.05,6,0.05,0.0009621300674243652,0.2
26,0.918837,0.812247,0.53295,0.973578,0.626667,0.366667,0.603762,2.997777,0.557479,0.2,0.05,6,0.03,0.000945775745783713,0.2
27,0.91597,0.809727,0.531214,0.831649,0.793333,0.36,0.601984,3.015515,0.698234,0.2,0.05,6,0.03,0.0009266884817661609,0.2
28,0.864299,0.757663,0.533179,0.795211,0.74,0.36,0.603317,3.03315,0.652834,0.2,0.05,6,0.03,0.0009049859547015363,0.2
29,0.883756,0.777554,0.531006,0.800833,0.793333,0.36,0.609317,3.053959,0.697867,0.2,0.05,6,0.03,0.0008808019678860154,0.2
30,0.912331,0.806272,0.530295,0.930312,0.693333,0.353333,0.617651,3.064855,0.611451,0.2,0.05,6,0.03,0.0008542856236403073,0.2
31,0.899819,0.793726,0.530463,0.772264,0.746667,0.36,0.606651,3.034249,0.658334,0.2,0.05,6,0.03,0.0008256004040442665,0.2
32,0.889971,0.78411,0.529304,0.839879,0.74,0.346667,0.613651,3.040833,0.650317,0.2,0.05,6,0.03,0.0007949231630155054,0.2
33,0.88339,0.777471,0.52959,0.852756,0.72,0.36,0.608651,3.041929,0.635567,0.2,0.05,6,0.03,0.0007624430359461845,0.2
34,0.864885,0.759191,0.528473,0.835139,0.726667,0.36,0.606651,3.034249,0.641334,0.2,0.05,6,0.03,0.0007283602736204245,0.2
35,0.833207,0.727242,0.529824,0.842969,0.693333,0.36,0.606651,3.034249,0.613001,0.2,0.05,6,0.03,0.0006928850076016322,0.2
36,0.808799,0.703118,0.528407,0.82901,0.7,0.36,0.606651,3.034249,0.618667,0.2,0.05,6,0.03,0.0006562359547015364,0.2
37,0.874619,0.768798,0.529106,0.763576,0.78,0.36,0.603317,3.03315,0.686834,0.2,0.05,6,0.03,0.000618639068518313,0.2
38,0.791425,0.685774,0.528255,0.821857,0.766667,0.36,0.608317,3.041929,0.675251,0.2,0.05,6,0.03,0.0005803261463575149,0.2
39,0.756338,0.650762,0.527878,0.748286,0.733333,0.36,0.603984,3.01883,0.647134,0.2,0.05,6,0.03,0.0005415334001246029,0.2
40,0.871409,0.765714,0.528474,0.871474,0.7,0.36,0.605317,3.026549,0.618734,0.2,0.05,6,0.03,0.0005025,0.2
41,0.814891,0.709358,0.527669,0.765944,0.766667,0.366667,0.598762,3.001111,0.676729,0.2,0.05,6,0.03,0.00046346659987539724,0.2
42,0.817703,0.7119,0.529014,0.807467,0.76,0.366667,0.601429,3.016621,0.670929,0.2,0.05,6,0.03,0.0004246738536424853,0.2
