epoch,train_loss,train_cls_loss,train_density_loss,val_loss,val_accuracy,val_obo,val_nmae,val_rmse,score,count_threshold_ratio,count_threshold_floor,count_min_distance,count_prominence_ratio,lr,lambda_density
1,1.349183,1.349183,3.301283,1.343334,0.306667,0.553333,0.619333,1.94079,0.3127,0.2,0.05,18,0.08,0.000993874949446081,0.0
2,1.164029,1.164029,3.428825,1.122058,0.533333,0.513333,0.663571,2.019901,0.497155,0.2,0.05,18,0.05,0.0009756506168568389,0.0
3,1.060858,1.060858,3.27373,1.013179,0.6,0.56,0.751103,2.187845,0.556445,0.35,0.2,6,0.03,0.000945775745783713,0.0
4,1.035397,1.035397,3.446166,0.815339,0.713333,0.48,0.7215,2.376272,0.642258,0.2,0.2,18,0.08,0.0009049859547015363,0.0
5,1.02401,1.02401,3.233912,0.93266,0.64,0.52,0.631175,2.160247,0.590441,0.4,0.05,18,0.08,0.0008542856236403073,0.0
6,0.916943,0.916943,3.393159,0.78689,0.706667,0.473333,0.744103,2.108712,0.634462,0.2,0.1,18,0.03,0.0007949231630155054,0.0
7,0.894868,0.894868,3.359571,0.784982,0.72,0.466667,0.647008,2.384673,0.64965,0.45,0.05,18,0.05,0.0007283602736204245,0.0
8,0.909263,0.909263,3.439838,0.830943,0.726667,0.466667,0.728111,2.259794,0.651261,0.25,0.05,18,0.03,0.0006562359547015364,0.0
9,0.881038,0.881038,3.574418,0.791016,0.713333,0.506667,0.667619,2.39583,0.648952,0.45,0.05,18,0.03,0.0005803261463575149,0.0
10,0.832549,0.832549,3.457747,0.803186,0.733333,0.48,0.690667,2.253886,0.6608,0.2,0.15,18,0.03,0.0005025,0.0
11,0.876923,0.876923,3.344304,0.887832,0.693333,0.526667,0.823151,2.363613,0.627176,0.3,0.05,6,0.05,0.0004246738536424853,0.0
12,0.863097,0.863097,3.443429,0.755516,0.786667,0.533333,0.699143,2.230097,0.71371,0.2,0.05,18,0.08,0.0003487640452984637,0.0
13,0.793371,0.793371,3.409144,0.699259,0.773333,0.466667,0.755563,2.268627,0.689555,0.2,0.05,18,0.03,0.0002766397263795755,0.0
