epoch,train_loss,train_cls_loss,train_density_loss,val_loss,val_accuracy,val_obo,val_nmae,val_rmse,score,count_threshold_ratio,count_threshold_floor,count_min_distance,count_prominence_ratio,lr,lambda_density
43,0.582947,0.582935,6.1e-05,0.937385,0.753333,0.966667,0.0,0.976388,0.785333,0.2,0.05,18,0.08,0.0003863609314816871,0.2
44,0.591325,0.591281,0.000219,0.959963,0.72,0.92,0.0,1.055146,0.75,0.2,0.05,18,0.03,0.0003487640452984637,0.2
45,0.548877,0.548848,0.000144,0.90747,0.74,0.966667,0.0,0.983192,0.774,0.2,0.05,18,0.03,0.00031211499239836786,0.2
46,0.526136,0.526109,0.000136,0.923994,0.713333,0.953333,0.0,1.01653,0.749333,0.2,0.05,18,0.03,0.0002766397263795755,0.2
47,0.461342,0.461317,0.000126,0.94787,0.733333,0.98,0.0,0.976388,0.770333,0.2,0.05,18,0.03,0.00024255696405381548,0.2
48,0.556095,0.556074,0.000105,0.899801,0.746667,0.966667,0.0,1.0,0.779667,0.2,0.05,18,0.03,0.0002100768369844947,0.2
49,0.506452,0.506435,8.4e-05,0.933308,0.74,0.98,0.0,0.976388,0.776,0.2,0.05,18,0.03,0.0001793995959557337,0.2
50,0.520855,0.520838,8.4e-05,0.928946,0.726667,0.98,0.0,0.979796,0.764667,0.2,0.05,18,0.08,0.00015071437635969266,0.2
51,0.598103,0.598087,7.6e-05,0.901281,0.746667,0.96,0.0,1.0,0.778667,0.2,0.05,18,0.03,0.00012419803211398463,0.2
52,0.502439,0.502424,7.4e-05,0.938056,0.733333,0.98,0.0,0.983192,0.770333,0.2,0.05,18,0.03,0.00010001404529846369,0.2
53,0.547142,0.547127,7.9e-05,0.917472,0.726667,0.94,0.0,1.036018,0.758667,0.2,0.05,18,0.03,7.831151823383915e-05,0.2
54,0.5141,0.514082,9e-05,0.931132,0.713333,0.926667,0.0,1.048809,0.745333,0.2,0.05,18,0.03,5.9224254216287026e-05,0.2
55,0.45946,0.459442,8.9e-05,0.944594,0.726667,0.966667,0.0,0.983192,0.762667,0.2,0.05,18,0.03,4.2869932575634845e-05,0.2
56,0.459072,0.459059,6.4e-05,0.957776,0.706667,0.966667,0.0,1.00995,0.745667,0.2,0.05,18,0.03,2.934938314316112e-05,0.2
57,0.475443,0.475425,9e-05,0.972459,0.713333,0.973333,0.0,0.989949,0.752333,0.2,0.05,18,0.03,1.8745964602155913e-05,0.2
58,0.547658,0.547643,7.1e-05,0.946645,0.726667,0.96,0.0,1.006645,0.761667,0.2,0.05,18,0.03,1.1125050553919015e-05,0.2
59,0.444205,0.444191,7.2e-05,0.960103,0.706667,0.993333,0.0,0.969536,0.749667,0.2,0.05,18,0.08,6.533626467768838e-06,0.2
60,0.457027,0.457009,9e-05,0.956639,0.72,0.986667,0.0,0.962635,0.76,0.2,0.05,18,0.03,0.001,0.2
61,0.565676,0.565663,6.4e-05,0.972567,0.713333,0.993333,0.0,0.966092,0.755333,0.2,0.05,18,0.08,0.0009996164455297596,0.2
62,0.640872,0.640861,5.3e-05,0.892214,0.746667,0.966667,0.0,1.00995,0.779667,0.2,0.05,18,0.03,0.0009984663735322313,0.2
63,0.647347,0.647337,5e-05,0.966464,0.666667,0.946667,0.0,1.048809,0.708667,0.2,0.05,18,0.03,0.000996551557335076,0.2
64,0.612818,0.612809,4.6e-05,0.900956,0.7,1.0,0.0,0.95219,0.745,0.2,0.05,18,0.03,0.000993874949446081,0.2
65,0.5667,0.566693,3.6e-05,0.871176,0.726667,0.966667,0.0,1.013246,0.762667,0.2,0.05,18,0.03,0.0009904406770006073,0.2
66,0.598616,0.598609,3.6e-05,1.063527,0.666667,0.98,0.0,0.983192,0.713667,0.2,0.05,18,0.03,0.0009862540353978442,0.2
67,0.593168,0.59316,3.6e-05,1.001148,0.666667,0.966667,0.0,0.989949,0.711667,0.2,0.05,6,0.08,0.0009813214801356895,0.2
68,0.572937,0.572928,4.5e-05,1.070767,0.693333,0.953333,0.0,1.051982,0.732333,0.2,0.05,18,0.03,0.0009756506168568389,0.2
69,0.653992,0.653983,4.2e-05,0.844983,0.766667,0.946667,0.0,1.013246,0.793667,0.2,0.05,18,0.03,0.0009692501896214359,0.2
70,0.533439,0.533431,3.9e-05,0.941646,0.7,0.96,0.0,0.986577,0.739,0.2,0.05,18,0.03,0.0009621300674243652,0.2
71,0.631206,0.631199,3.6e-05,0.991425,0.706667,0.98,0.0,1.003328,0.747667,0.2,0.05,18,0.03,0.000954301228977978,0.2
